arrival_time_seconds,size_bytes
0,10
10,10
20,10
30,10
40,10
50,10
60,10
70,10
80,10
90,10
100,10
110,10
120,10
130,10
140,10
150,10
160,10
170,10
180,10
190,10
200,10
210,10
220,10
230,10
240,10
250,10
260,10
270,10
280,10
290,10
300,10
310,10
320,10
330,10
340,10
350,10
360,10
370,10
380,10
390,10
400,10
410,10
420,10
430,10
440,10
450,10
460,10
470,10
480,10
490,10
500,10
510,10
520,10
530,10
540,10
550,10
560,10
570,10
580,10
590,10
600,10
610,10
620,10
630,10
640,10
650,10
660,10
670,10
680,10
690,10
700,10
710,10
720,10
730,10
740,10
750,10
760,10
770,10
780,10
790,10
800,10
810,10
820,10
830,10
840,10
850,10
860,10
870,10
880,10
890,10
900,10
910,10
920,10
930,10
940,10
950,10
960,10
970,10
980,10
990,10
1000,10
1010,10
1020,10
1030,10
1040,10
1050,10
1060,10
1070,10
1080,10
1090,10
1100,10
1110,10
1120,10
1130,10
1140,10
1150,10
1160,10
1170,10
1180,10
1190,10
1200,10
1210,10
1220,10
1230,10
1240,10
1250,10
1260,10
1270,10
1280,10
1290,10
1300,10
1310,10
1320,10
1330,10
1340,10
1350,10
1360,10
1370,10
1380,10
1390,10
1400,10
1410,10
1420,10
1430,10
1440,10
1450,10
1460,10
1470,10
1480,10
1490,10
1500,10
1510,10
1520,10
1530,10
1540,10
1550,10
1560,10
1570,10
1580,10
1590,10
1600,10
1610,10
1620,10
1630,10
1640,10
1650,10
1660,10
1670,10
1680,10
1690,10
1700,10
1710,10
1720,10
1730,10
1740,10
1750,10
1760,10
1770,10
1780,10
1790,10
1800,10
1810,10
1820,10
1830,10
1840,10
1850,10
1860,10
1870,10
1880,10
1890,10
1900,10
1910,10
1920,10
1930,10
1940,10
1950,10
1960,10
1970,10
1980,10
1990,10
2000,10
2010,10
2020,10
2030,10
2040,10
2050,10
2060,10
2070,10
2080,10
2090,10
2100,10
2110,10
2120,10
2130,10
2140,10
2150,10
2160,10
2170,10
2180,10
2190,10
2200,10
2210,10
2220,10
2230,10
2240,10
2250,10
2260,10
2270,10
2280,10
2290,10
2300,10
2310,10
2320,10
2330,10
2340,10
2350,10
2360,10
2370,10
2380,10
2390,10
2400,10
2410,10
2420,10
2430,10
2440,10
2450,10
2460,10
2470,10
2480,10
2490,10
2500,10
2510,10
2520,10
2530,10
2540,10
2550,10
2560,10
2570,10
2580,10
2590,10
2600,10
2610,10
2620,10
2630,10
2640,10
2650,10
2660,10
2670,10
2680,10
2690,10
2700,10
2710,10
2720,10
2730,10
2740,10
2750,10
2760,10
2770,10
2780,10
2790,10
2800,10
2810,10
2820,10
2830,10
2840,10
2850,10
2860,10
2870,10
2880,10
2890,10
2900,10
2910,10
2920,10
2930,10
2940,10
2950,10
2960,10
2970,10
2980,10
2990,10
3000,10
